    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        79   130.5125    93.000  0.005826707  0.317266597  0.675323870  0.001582827  1  1.000000  0.000000   567.4964        NaN  1.155E-01        NaN  0.005826707  0.317266597  0.675323870  0.001582827          NaN          NaN          NaN          NaN
        80   123.7265    93.000  0.001614897  0.066146520  0.402643711  0.529594873  1  1.000000  0.000000   749.2489        NaN  3.936E-01        NaN  0.001614897  0.066146520  0.402643711  0.529594873          NaN          NaN          NaN          NaN
        81   127.7041    93.000  0.093540807  0.322876663  0.573204262  0.010378269  1  1.000000  0.000000   544.9481        NaN  1.010E-01        NaN  0.093540807  0.322876663  0.573204262  0.010378269          NaN          NaN          NaN          NaN
        82   123.3985    93.000  0.022098000  0.198640528  0.289684486  0.489576986  1  1.000000  0.000000   736.1876        NaN  3.665E-01        NaN  0.022098000  0.198640528  0.289684486  0.489576986          NaN          NaN          NaN          NaN
        83   132.7970    93.000  0.000000909  0.993155604  0.000000000  0.006843487  1  1.000000  0.000000   433.4741        NaN  5.870E-02        NaN  0.000000909  0.993155604  0.000000000  0.006843487          NaN          NaN          NaN          NaN
        84   156.9203    93.000  0.000149377  0.024874098  0.273759529  0.701216995  1  1.000000  0.000000   782.3277        NaN  5.033E-01        NaN  0.000149377  0.024874098  0.273759529  0.701216995          NaN          NaN          NaN          NaN
        85   154.7524    93.000  0.008080862  0.123352863  0.000079249  0.868487026  1  1.000000  0.000000   803.6446        NaN  5.998E-01        NaN  0.008080862  0.123352863  0.000079249  0.868487026          NaN          NaN          NaN          NaN
        86   122.6139    93.000  0.005404938  0.236384682  0.740814548  0.017395831  1  1.000000  0.000000   583.9984        NaN  1.267E-01        NaN  0.005404938  0.236384682  0.740814548  0.017395831          NaN          NaN          NaN          NaN
        87   151.6273    93.000  0.147788963  0.085298951  0.764468851  0.002443234  1  1.000000  0.000000   565.2647        NaN  1.136E-01        NaN  0.147788963  0.085298951  0.764468851  0.002443234          NaN          NaN          NaN          NaN
        88   143.0769    93.000  0.000361080  0.295698728  0.582535546  0.121404646  1  1.000000  0.000000   629.4370        NaN  1.720E-01        NaN  0.000361080  0.295698728  0.582535546  0.121404646          NaN          NaN          NaN          NaN
        89   157.4210    93.000  0.473750236  0.000488079  0.514795684  0.010966000  1  1.000000  0.000000   469.9586        NaN  6.792E-02        NaN  0.473750236  0.000488079  0.514795684  0.010966000          NaN          NaN          NaN          NaN
        90   146.5764    93.000  0.245048767  0.212210425  0.429632449  0.113108359  1  1.000000  0.000000   580.1422        NaN  1.246E-01        NaN  0.245048767  0.212210425  0.429632449  0.113108359          NaN          NaN          NaN          NaN
        91   127.3911    93.000  0.013993285  0.000007940  0.975497560  0.010501215  1  1.000000  0.000000   605.0865        NaN  1.424E-01        NaN  0.013993285  0.000007940  0.975497560  0.010501215          NaN          NaN          NaN          NaN
        92   138.1464    93.000  0.059113643  0.940799044  0.000087313  0.000000000  1  1.000000  0.000000   406.8315        NaN  5.235E-02        NaN  0.059113643  0.940799044  0.000087313  0.000000000          NaN          NaN          NaN          NaN
        93   149.7348    93.000  0.000009995  0.446605292  0.545643945  0.007740767  1  1.000000  0.000000   559.3625        NaN  1.117E-01        NaN  0.000009995  0.446605292  0.545643945  0.007740767          NaN          NaN          NaN          NaN
        94   149.8290    93.000  0.961865516  0.000146390  0.031276306  0.006711788  2  0.014988  0.985012   667.9434    97.4815  2.237E-01  1.633E-02  0.410356054  0.000245953  0.243419069  0.345978923  0.971848269  0.000144588  0.027436356  0.000570787
