    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        68   137.5447    83.806  0.003706319  0.988248320  0.000011729  0.008033632  1  1.000000  0.000000   452.4785        NaN  6.450E-02        NaN  0.003706319  0.988248320  0.000011729  0.008033632          NaN          NaN          NaN          NaN
        69   122.2689   116.845  0.993854976  0.000000009  0.000653722  0.005491293  2  0.005796  0.994204   738.9536    64.0585  3.602E-01  1.553E-02  0.331268036  0.000000014  0.005303758  0.663428192  0.998585995  0.000000009  0.000620520  0.000793476
        70   149.1437    71.405  0.003866070  0.480076529  0.000604610  0.515452791  1  1.000000  0.000000   751.3344        NaN  4.536E-01        NaN  0.003866070  0.480076529  0.000604610  0.515452791          NaN          NaN          NaN          NaN
        71   137.2091    85.378  0.052374730  0.605477912  0.000017637  0.342129720  1  1.000000  0.000000   683.4383        NaN  2.618E-01        NaN  0.052374730  0.605477912  0.000017637  0.342129720          NaN          NaN          NaN          NaN
        72   145.8083    79.512  0.075473226  0.921423300  0.003038633  0.000064841  1  1.000000  0.000000   431.5002        NaN  5.879E-02        NaN  0.075473226  0.921423300  0.003038633  0.000064841          NaN          NaN          NaN          NaN
        73   153.1860   116.545  0.035081161  0.000713421  0.949984481  0.014220936  1  1.000000  0.000000   587.8705        NaN  1.245E-01        NaN  0.035081161  0.000713421  0.949984481  0.014220936          NaN          NaN          NaN          NaN
        74   144.6420    68.796  0.000000430  0.553572783  0.411001876  0.035424911  1  1.000000  0.000000   582.9965        NaN  1.350E-01        NaN  0.000000430  0.553572783  0.411001876  0.035424911          NaN          NaN          NaN          NaN
        75   155.6828   111.903  0.795202275  0.072122277  0.051638017  0.081037431  2  0.193511  0.806489   654.9691   106.0753  1.991E-01  1.703E-02  0.392339814  0.096196763  0.149536712  0.361926711  0.909391918  0.065298467  0.023889050  0.001420565
        76   153.2913    83.819  0.000003848  0.460623789  0.434520139  0.104852224  1  1.000000  0.000000   616.6684        NaN  1.631E-01        NaN  0.000003848  0.460623789  0.434520139  0.104852224          NaN          NaN          NaN          NaN
        77   119.8451    79.523  0.100436055  0.555903102  0.342218799  0.001442044  1  1.000000  0.000000   506.8283        NaN  8.359E-02        NaN  0.100436055  0.555903102  0.342218799  0.001442044          NaN          NaN          NaN          NaN
        78   138.5078   102.278  0.534384098  0.176814224  0.007867198  0.280934480  2  0.587738  0.412262   687.1644   101.1808  2.559E-01  1.641E-02  0.342439562  0.201661337  0.011520644  0.444378456  0.862957475  0.134280583  0.001613177  0.001148766
        79   159.3107   101.673  0.827206706  0.001232787  0.171415971  0.000144535  2  0.116548  0.883452   405.4342   150.4571  5.094E-02  1.924E-02  0.551089299  0.001620349  0.446460489  0.000829863  0.878324761  0.001161037  0.120496542  0.000017660
